Date,AXISBANK.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,INFY.NS,IOC.NS,ITC.NS,M&M.NS,MARICO.NS,ONGC.NS,RELIANCE.NS,SAIL.NS,SBIN.NS,SIEMENS.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TITAN.NS,VEDL.NS,WIPRO.NS
2000-01-03,3.6993415355682373,13.014572143554688,54.37089157104492,100.32758331298828,324.12286376953125,2.891770124435425,6.320054054260254,14.292337417602539,57.24055480957031,135.38519287109375,84.00274658203125,5.094306945800781,9.736568450927734,39.72907638549805,1.9032713174819946,8.421344757080078,29.684194564819336,8.509647369384766,16.423582077026367,44.04909896850586,12.120354652404785,34.77507019042969,32.93148422241211,4.309473514556885,2.041356086730957,6.988166332244873,1.005574345588684,83.54179382324219
2000-01-04,3.8421738147735596,12.077397346496582,54.20208740234375,100.87141418457031,350.0611572265625,3.042721748352051,6.1038665771484375,14.61181354522705,59.41154098510742,133.83042907714844,90.61910247802734,4.972990036010742,9.789477348327637,42.91020202636719,1.8626868724822998,8.149112701416016,32.060585021972656,8.284014701843262,17.465003967285156,44.178428649902344,11.957874298095703,33.9372673034668,31.63245391845703,4.317896366119385,2.0192625522613525,6.615644454956055,0.9913139939308167,90.22554016113281
2000-01-05,3.7421910762786865,11.733492851257324,52.81927490234375,98.79236602783203,336.9738464355469,3.288389205932617,5.814080238342285,14.03591251373291,64.16259002685547,129.0692901611328,83.36968994140625,4.914682865142822,9.979812622070312,45.11859130859375,1.811465859413147,8.802068710327148,33.316593170166016,8.284014701843262,16.747127532958984,42.23442840576172,11.538130760192871,32.523468017578125,32.39971923828125,4.402120590209961,2.096256732940674,6.211702346801758,0.9852641820907593,91.69601440429688
2000-01-06,3.649351119995117,12.396851539611816,56.43611145019531,93.34004974365234,357.06695556640625,3.55181622505188,5.97507381439209,14.149413108825684,69.18423461914062,134.2499542236328,76.70011138916016,4.892114162445068,10.778250694274902,45.96864318847656,1.870243787765503,8.652146339416504,34.714115142822266,8.574114799499512,17.593076705932617,42.84067153930664,11.52690315246582,33.61076736450195,33.74432373046875,4.539686679840088,2.252922773361206,6.709896087646484,1.0310702323913574,89.92195129394531
2000-01-07,3.470811367034912,12.382182121276855,60.95083999633789,85.88441467285156,328.60345458984375,3.8270809650421143,5.76348352432251,14.153616905212402,72.25262451171875,141.5690460205078,70.56407928466797,4.973931312561035,11.640593528747559,43.50173568725586,1.8131462335586548,8.512083053588867,37.096405029296875,8.316248893737793,18.422178268432617,39.42958068847656,10.604853630065918,36.29051208496094,36.448734283447266,4.531264781951904,2.3024673461914062,6.568518161773682,1.0068702697753906,82.72911834716797
2000-01-10,3.577935218811035,12.54842758178711,65.52665710449219,83.0171127319336,323.18798828125,3.8773980140686035,5.731287479400635,13.947639465332031,67.49826049804688,142.64273071289062,73.96072387695312,4.727537631988525,12.572334289550781,43.57183837890625,1.8596084117889404,8.265501022338867,36.38288879394531,8.799749374389648,18.16602897644043,38.71017837524414,10.117741584777832,36.6108512878418,39.32786178588867,4.848509311676025,2.440387725830078,6.503438949584961,1.0284775495529175,82.84104919433594
2000-01-11,3.399394989013672,12.152368545532227,61.32796859741211,76.70771026611328,310.874267578125,3.6465303897857666,5.501297950744629,13.737457275390625,65.541748046875,145.8432159423828,68.0440444946289,4.5093584060668945,12.144255638122559,46.69163131713867,1.726938009262085,7.6973724365234375,34.024200439453125,8.058380126953125,16.71342658996582,36.35798645019531,9.954931259155273,34.91676330566406,36.18284606933594,4.618296146392822,2.245558261871338,6.328397274017334,0.9900175929069519,76.22014617919922
2000-01-12,3.413679599761963,12.32187557220459,63.40755844116211,82.84501647949219,320.3943786621094,3.7856428623199463,5.662290096282959,13.909805297851562,64.09661865234375,155.347900390625,70.30630493164062,4.8704833984375,12.208159446716309,42.9627799987793,1.8624075651168823,7.977489948272705,35.580936431884766,8.122843742370605,16.497730255126953,37.542171478271484,9.359166145324707,35.418819427490234,36.50190353393555,4.691290378570557,2.2134222984313965,6.638084411621094,0.9977958798408508,78.59526062011719
2000-01-13,3.3708293437957764,12.256681442260742,63.314170837402344,89.29212951660156,317.5038757324219,3.62581205368042,5.689889430999756,13.880380630493164,64.39356994628906,163.49420166015625,65.00032806396484,5.125339031219482,12.089971542358398,43.729591369628906,1.9049509763717651,7.845321178436279,36.77796936035156,7.993911266326904,16.480871200561523,38.65764617919922,9.85783863067627,34.39929962158203,35.77262878417969,4.570569038391113,2.1317410469055176,6.680723190307617,0.9947710633277893,76.06066131591797
2000-01-14,3.3422622680664062,12.204524993896484,62.47011947631836,88.16653442382812,316.6549987792969,3.690927267074585,5.745085716247559,13.909805297851562,62.298484802246094,158.5336151123047,65.46160888671875,5.210919380187988,12.19716739654541,45.48227310180664,1.9167062044143677,7.669754981994629,37.30278778076172,7.832744598388672,16.12361717224121,37.526004791259766,10.424872398376465,33.8417854309082,36.31958770751953,4.54530143737793,2.1250457763671875,6.485485076904297,0.9843994379043579,76.60041809082031
