data,Benchmark,LSTM_rm
2015-12-31,0.0,0.0
2016-01-31,0.0,0.0
2016-02-29,0.0,0.0
2016-03-31,0.0,0.0
2016-04-30,0.0,0.0
2016-05-31,0.0,0.0
2016-06-30,0.0,0.0
2016-07-31,0.06074304562971111,0.01573452481356541
2016-08-31,0.06194058510775258,0.008730197936425044
2016-09-30,0.056972318446626535,0.0028400618873618555
2016-10-31,0.039635286791094515,-0.040700554754022455
2016-11-30,0.07647368584370717,-0.04395952161506966
2016-12-31,0.0907671508890473,-0.0397122150014344
2017-01-31,0.108661840737587,-0.02851946844497233
2017-02-28,0.1479533736755272,0.0008295275244296629
2017-03-31,0.14486631940322758,-0.0016943201524187712
2017-04-30,0.15479249350759905,0.0064163264405566744
2017-05-31,0.16890539918850478,0.017968706159362857
2017-06-30,0.17039645537932357,0.019192327267239295
2017-07-31,0.1909506371740992,0.03606442690252154
2017-08-31,0.19386833871090414,0.03846812288262591
2017-09-30,0.2089800206025525,0.050923994213844304
2017-10-31,0.23254407851610503,0.07039772286857315
2017-11-30,0.26310995856938124,0.09575922227572742
2017-12-31,0.2700907348335444,0.10158079723531077
2018-01-31,0.32644990957121856,0.14863534813603485
2018-02-28,0.29008949729052913,0.11800809088167441
2018-03-31,0.2587992333811582,0.09180742295186795
2018-04-30,0.26396744885022483,0.09611237125717875
2018-05-31,0.2882765201079769,0.11637840869283811
2018-06-30,0.28953139696199237,0.11742872273415128
2018-07-31,0.3265779460558864,0.12100028200983837
2018-08-31,0.3584977961072118,0.13116952937601756
2018-09-30,0.359910092154738,0.10523452872143135
2018-10-31,0.2908058122512749,0.0766821368692161
2018-11-30,0.30935508218845587,0.08478281587564473
2018-12-31,0.21601208818424955,0.009158846211081317
2019-01-31,0.29607768778988497,0.07278241859894508
2019-02-28,0.3284935001761351,0.09893961422566566
2019-03-31,0.3421292774490585,0.10042621179263944
2019-04-30,0.3829816478063448,0.09490597510137055
2019-05-31,0.3192104733943625,0.10950267058353003
2019-06-30,0.38362000474159375,0.17616760299360257
2019-07-31,0.39873943366917486,0.18109047110605814
2019-08-31,0.3819960634933953,0.2179491470688577
2019-09-30,0.39676773942542576,0.2118927211745535
2019-10-31,0.41887239219168493,0.21611226218836477
2019-11-30,0.455070629993381,0.2307766480864787
2019-12-31,0.47909146245691503,0.25121855932797643
2020-01-31,0.47868763976646034,0.2508736978648557
2020-02-29,0.3995218785661927,0.18327073593846355
2020-03-31,0.2695346764591964,0.0736457622631782
2020-04-30,0.3965182302373851,0.03486869643364343
2020-05-31,0.44416349261153876,0.019577459040643896
2020-06-30,0.45743891956379823,0.02125354871786045
2020-07-31,0.5163311381550175,0.05604844679033283
2020-08-31,0.5861278100640308,0.024616611942398947
2020-09-30,0.5448464754015798,-0.009035588675895712
2020-10-31,0.5199128979932437,-0.013190982730382439
2020-11-30,0.6286897341670121,-0.056415138612993965
2020-12-31,0.6613362772922462,-0.013296428429920737
2021-01-31,0.6511458485214219,-0.021232322811758575
2021-02-28,0.678951338898081,0.0003722604125777629
2021-03-31,0.7209378827926556,0.03319339288447609
2021-04-30,0.7738483410753259,0.07533964210843003
2021-05-31,0.7804144106466302,0.09125096289630608
2021-06-30,0.7995078037770946,0.09528758560983186
2021-07-31,0.8239202979756464,0.1334009026066667
2021-08-31,0.8536801381214705,0.1368203960559824
2021-09-30,0.8040300738301864,0.09242981043945497
2021-10-31,0.8741936202807066,0.14662854859288088
2021-11-30,0.8661587755525493,0.13740927223020638
2021-12-31,0.9113778602261682,0.1778098043996753
